scorer,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110,DLC_Resnet50_OpenFieldMay9shuffle1_snapshot_best-110
bodyparts,Snout,Snout,Snout,Left_ear,Left_ear,Left_ear,Right_ear,Right_ear,Right_ear,Spine_1,Spine_1,Spine_1,Spine_2,Spine_2,Spine_2,R_leg,R_leg,R_leg,L_leg,L_leg,L_leg,Neck,Neck,Neck,Tailbase,Tailbase,Tailbase,tail_1,tail_1,tail_1,tail_2,tail_2,tail_2,tail_3,tail_3,tail_3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,80.613335,70.74101,0.8566407,61.204605,91.19034,0.9057177,96.26679,78.549095,0.8317005,105.439926,110.337555,0.895235,133.20322,133.73607,0.8540911,146.93184,112.322556,0.95308334,109.23984,147.39244,0.88527614,85.65278,89.4828,0.8803308,156.17491,150.22556,0.9653535,186.34814,175.78064,0.8410429,215.79034,201.24371,0.90682054,258.6792,219.28961,0.83873916
9,85.593796,67.17804,0.98855245,65.11227,87.67823,0.9146151,98.556564,78.03334,0.89359784,106.071884,109.40902,0.945586,134.63992,130.60669,0.8372182,146.16426,107.34326,0.977274,112.12349,146.14186,0.913392,87.14651,88.693695,0.9206508,158.03001,146.92911,0.92320096,189.23459,170.89264,0.8177361,218.8687,195.85007,0.8474521,262.45685,211.00545,0.88043123
10,87.96315,65.98842,0.9804179,66.23641,86.13579,0.9414125,100.18055,77.32567,0.8897453,107.0441,108.37959,0.9538627,135.29982,127.99593,0.7769216,145.67014,103.46715,0.9167058,114.26392,144.18085,0.90480626,88.29516,86.36394,0.9011417,160.53711,143.23624,0.90725327,191.47064,166.84377,0.90691584,220.03854,191.6219,0.84074855,264.50272,207.25758,0.9000877
11,92.618515,63.62864,0.8673158,67.85988,84.12657,0.9341915,103.610725,76.64822,0.8947083,109.73564,106.7227,0.9489953,137.06996,126.43505,0.7309372,146.5761,102.565765,0.895608,115.095695,142.15549,0.8519623,90.58957,84.6782,0.91800755,161.29613,140.0429,0.9376788,194.39319,162.70767,0.9325141,224.77391,187.61906,0.89204985,267.31882,203.38515,0.87430525
12,96.46033,63.280277,0.8236189,70.76726,81.674194,0.8908806,107.48154,74.45253,0.8933052,112.427795,103.92911,0.8675801,138.82365,125.22816,0.75389993,149.67749,100.96442,0.9476018,114.578,139.07623,0.8317474,93.62385,83.83223,0.9100206,163.06349,138.90347,0.9928878,197.0678,160.479,0.87756485,229.07118,183.8973,0.91739565,270.9034,198.76167,0.8843284
13,100.280106,62.987724,0.8790893,74.66388,80.4445,0.89571995,110.77658,75.03767,0.8705155,114.36583,104.51619,0.91523874,140.74974,124.2212,0.81954676,151.84715,99.89277,0.991,118.28455,138.7536,0.88974756,97.49802,83.97708,0.89915156,165.59929,138.18417,0.94460183,199.1911,160.19023,0.8445203,230.40538,182.78384,0.895213,273.74118,197.71838,0.8748556
14,102.140144,62.068012,0.8802433,78.25572,79.11562,0.9437082,113.22992,72.9915,0.80447745,117.1459,103.62401,0.9364408,144.43587,123.295395,0.8608828,155.12517,98.8725,1,121.6732,137.93361,0.89667153,99.71213,82.677185,0.9266108,169.27582,137.18663,0.96509576,202.55322,159.96997,0.8698414,233.33621,182.44038,0.89004606,276.39117,197.49911,0.8731686
15,103.814926,62.30695,0.7640029,80.08658,77.7988,0.95146334,113.94771,73.07587,0.7978336,119.38158,102.44107,0.95626134,148.10435,122.34148,0.8426768,158.65184,98.42141,0.96810347,124.3004,136.85965,0.816051,101.630646,82.21319,0.9305158,173.07593,135.88626,0.9567739,205.86617,158.70822,0.81235677,236.39589,182.21893,0.8256653,279.33466,197.49977,0.86581767
16,104.03068,60.906708,0.75868785,81.775795,75.59892,0.97007084,114.91982,71.846565,0.85247946,121.09385,100.89362,0.9961513,150.86621,120.87886,0.77295864,160.1844,97.05979,0.92773074,127.20302,135.04955,0.78585684,102.982445,80.84373,0.9266496,175.93059,135.10622,0.9136084,208.05194,157.96884,0.8028545,238.28957,181.86864,0.79917365,282.52945,197.66907,0.9053638
17,102.11726,60.885757,0.7744981,82.53982,77.13733,0.9870859,115.03025,69.628654,0.88725674,123.72852,99.18682,1,153.35458,120.22815,0.7368081,165.139,97.17428,0.963654,129.85233,135.2257,0.7968687,104.27713,80.43295,0.9263755,176.79803,134.26036,0.8603859,209.62274,157.88303,0.8207887,239.41365,182.67215,0.7988674,283.2089,197.77289,0.91494626
